,13-Jan-2026
The Nifty witnessed an intraday movement of about 296.5 points.The closing index was 0.22 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 101636.97
, Traded Quantity (in Lakhs), 48038.86
, Number of Trades, 29941951
, Total Market Capitalisation (Rs. Crores), 46576776.68

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,8SMC29,N1,       512.00,                     7168.00,14
,8SMC30,N2,       512.00,                    10240.00,20
,901HUDCO34,NE,      1252.10,                   151941.50,120
,901NHB34,N6,      6260.00,                   914615.01,146
,902SCL28,N1,       985.00,                    88650.00,90
,910TCAP28,NA,      1060.00,                   531463.00,501
,915APSBC29,N0,    101730.50,                  2034610.00,20
,915SCL26,NE,      1009.00,                   415381.01,411
,91D060226,TB,        99.64,                   189059.00,1900
,91D090426,TB,        98.56,                    59129.00,600
,91D120226,TB,        99.40,                    19879.00,200
,91D190326,TB,        98.83,                    19766.00,200
,91D230126,TB,        99.79,                     9979.00,100
,91D260226,TB,        99.10,                     9910.00,100
,91D270326,TB,        98.97,                  1464252.00,14800
,91D290126,TB,        99.67,                    29901.00,300
,925CAGL26,N9,      1005.00,                    50250.00,50
,925SCFL27,YA,      1009.25,                    15138.75,15
,92GS2030,GS,       114.68,                    76381.18,667
,92SFIL28,ND,       945.90,                    19359.00,20
,930AEL30,NF,      1058.50,                   115480.50,108
,930APMD31,N0,    104048.70,                   520243.50,5
,930APMD32,N0,    102612.00,                   205224.00,2
,931SFL26,Z5,      1039.00,                   119485.00,115
,932AEL27,N3,      1038.00,                    29064.00,28
,935MOFSL29,N5,      1075.00,                    26875.00,25
,935TSI29,N0,    102571.53,                  3077145.90,30
,93MOFSL34,N6,      1068.00,                    53400.00,50
,943ECL28,NJ,       995.12,                    70697.65,71
,948SCL26I,AX,       380.00,                    11780.00,31
,94SFL28,YL,      1076.40,                   193726.00,180
,950ISF27,N0,     74800.00,                   126632.00,2
,950ISF27C,N0,      9653.00,                     9653.00,1
,957ICCL25,YW,      1075.00,                     6450.00,6
,957IIFLS27,NA,       990.00,                    27720.00,28
,957ISFL26,N2,       994.00,                    49700.00,50
,965AEL27,N4,      1042.04,                   156446.16,150
,965SCL25C,N0,       409.00,                   242845.00,601
,965SCL27,N1,      1058.00,                    21000.00,20
,96IIFL28,N5,       995.73,                   653660.93,656
,96IIFL28A,NF,       997.00,                   477614.74,479
,970CAGL28,ND,      1020.00,                   304980.00,299
,971SCL28A,NT,       810.00,                    81000.00,100
,975BNAL28,N0,      9950.00,                    59700.00,6
,975IIFL28,Y0,      1080.34,                    47534.96,44
,97SFL28,YS,      1069.39,                   109077.80,102
,980SCL33C,ND,       850.00,                     7650.00,9
,980SCL33D,YG,       996.10,                    73711.40,74
,995SCL2035,NM,       985.00,                     9850.00,10
,99AEL29,N7,      1075.00,                    86000.00,80
,9AEL30,NE,      1025.00,                   460916.32,451
,9IHFL27,N1,      1000.00,                    35051.00,35
,9IIFL28,Y0,      1018.50,                   509190.00,500
,9IIFL28A,NT,       980.00,                   205800.00,210
,9MMFSML,N2,      1053.00,                   153751.99,146
,9SCL26BA,NA,      1015.00,                   203000.00,200
,A2ZINFRA,EQ,        14.26,                  2607573.21,180299
,AAATECH,EQ,       112.79,                 31758403.52,284404
,AADHARHFC,EQ,       483.35,                 40617957.35,84277
,AAKAAR,SM,        60.00,                   192000.00,3200
,AAKASH,EQ,         8.45,                   703499.31,83408
,AARADHYA,SM,       127.00,                   152400.00,1200
,AAREYDRUGS,EQ,        64.86,                 12097689.30,186516
,AARON,EQ,       167.88,                  4380584.14,25761
,AARTECH,EQ,        50.29,                  1559980.84,30913
,AARTIDRUGS,EQ,       393.65,                 44103010.25,112571
,AARTIIND,EQ,       363.00,                239319105.25,664023
